Causes , like the other conditions which enter into causal circumstances , are at bottom conceived <head>by</head> us to be certain spatio-temporal items , individual properties .	3(1b)
He fired blindly <head>at</head> Whitlock as he turned into Second Avenue .	9(5)
` We 've had this conversation <head>before</head> .	1(1)
Some people who have become severely deafened do not wear rubber soles on their shoes because they can only feel the vibration <head>through</head> the floor when wearing leather soles .	4(1c)
There have been reports <head>about</head> an increasing number of people suffering from food poisoning and accusing fingers have been pointed at food manufacturers , distributors , caterers and even consumers .	1(1)
He was watching Stella who stood <head>at</head> the fireplace , leaning against the armchair in which Potter now sat holding court .	1(1)
"` I 'm infuriated <head>with</head> myself , "" he gritted from behind clenched teeth , his scowl deepening ."	9(7)
Possible treatment includes myringotomy with or without insertion <head>of</head> a ventilation tube ( grommet ) either alone or with adenoidectomy and occasionally tonsillectomy .	12(6a)
The above quotations are part of a large batch of letters forwarded <head>from</head> the BBC which arrived on my mat ten days after the programme went out .	4(3)
Then he thought how the long streets were dotted <head>with</head> lamps , and how the peaceful stars were shining overhead ( 5 ) .	5(3a)
His rear wheel spun on the loose stones , searching <head>for</head> grip , then he pulled away .	5(4)
The problem to date has been that the colours seen on the display monitor are difficult to reproduce accurately <head>in</head> the final dyed or printed product : what you see is not always what you get !	1(1)
Landsat-4 obtains data <head>with</head> two sensors .	4(3)
Mr. Waddicar the caretaker was hobbling <head>across</head> the landing , like an old lollipop man frustrating traffic .	1(1)
In recent years , several major Christian denominations have criticised freemasonry <head>for</head> this pagan trinity , and other matters .	6(5)
Lakshmi is usually depicted <head>as</head> the consort of the god Vishnu .	1(1)
"On Aug. 16 the ANC released 32 people , "" all suspected agents and infiltrators "" , held in camps <head>in</head> Uganda and Angola ."	1(1)
In fact , during the war years such views received their most consistent and sophisticated formulation <head>in</head> the pages of Scrutiny .	9(7)
Det Chief Inspector Neil McAteer said : ` The woman had got <head>off</head> a bus and was walking home when she heard footsteps behind her .	4(3)
Entrance <head>from</head> the car park at the rear of the library .	1(1)
She already holds a commendation <head>for</head> her part in rescuing a rottweiler dog .	6(5)
But in contrast to Mama Mosambiki 's oblique approach , the Kafala Brothers have chosen in this album to sing directly <head>about</head> the cruelty and devastation of civil war in Angola .	1(1)
"When confiding the news <head>to</head> Greeves , he said , ` My long night talk with Dyson and Tolkien had a good deal to do with it . """	8(3)
Tragedy struck as Angela took her usual stroll <head>through</head> a farmer 's field with pekinese Yeng and deerhound Jamie .	3(1b)
Elizabethan England could be portrayed as a period before emigration <head>to</head> the American colonies began , before the ruptures between a British and American way of life existed .	1(1)
This set of models ( 1030LS , 1040LS , 1041LS , 1052LS ) are to be exact duplicates <head>of</head> Sun 's Sparcstation 10 line in performance and mechanical functionality .	6(3)
"` I passed by death , "" I mumbled <head>to</head> myself ."	8(3)
Then , floating <head>at</head> 30,000 feet above the icebergs of the North Atlantic , he was struck by the Great Idea .	1(1)
Yet it also represented at least a first step towards an institutional framework for dialogue <head>between</head> State and commoners .	4(4)
The hard shale was now gone and the flat lake had become a choppy sea <head>of</head> sand and rock .	17(8)
"` Duckie "" Weston , a renowned local breeder , was an Aylesbury follower in his time , and one confused bird did waddle aimlessly <head>around</head> the ground a few seasons ago , but according to the club 's chief executive , Tony Graham , ` they are a devil of a mascot to parade about . """	3(2)
I was n't therefore able to recommend this film when a few months later a woman <head>from</head> Nottingham requested a loan .	4(3)
AFTER soaring <head>above</head> $19 a barrel on Tuesday , oil prices fell back last night to $18.84 in spite of an announcement by Iran that it would cut its production next month .	9(3)
However , the fact that Brucan chose to retain his seat on the NSF Council raised speculation that his withdrawal <head>from</head> the leadership was a tactical manoeuvre .	10(7)
A crushed grimace <head>of</head> defeat crossed Charlotte 's face at his words .	6(3)-1
McKee ( 1987 ) reports that siblings <head>of</head> unemployed men were the second most important category ( after parents ) to give assistance .	6(3)
As they headed off on their Whitsun holiday , backbenchers were already muttering <head>about</head> the next shake-up .	1(1)
Vologsky seized the form , crumpling it <head>into</head> a ball in his palm .	6(6)
"At the ` height "" of their career , the sample group used an average of between 0.25 and 0.5 gram a day , a daily habit costing <head>between</head> 20 and 35 ."	3(3)
She would not be reduced to skulking <head>in</head> the back room of her own shop .	1(1)
BRITAIN 'S 7.6 million homebuyers face another rise in mortgage repayments following this week 's one per cent hike <head>in</head> bank base rates to 15 per cent .	6(4a)
The hopeful view is that the thwarted coup will strengthen Guatemala 's eight-year experiment with democracy and serve as a lesson for other would-be dictators <head>in</head> Latin America .	7(5)
He ( and the Assistant Dean ) also counsel many other students on the Course who consider that they have problems , and also respond to queries <head>from</head> other staff as to how best to advise individual students .	12(9)-1
Muller was a little early <head>for</head> the rendezvous .	11(9)
Another obvious source was firms that had become wealthy through the hire of radio and TV sets -- chief <head>among</head> them Rediffusion ( Associated -Rediffusion ) .	2(2)
In June , a well-to-do gentleman <head>in</head> a charged emotional state , ran into the Reading Police Station , where he was confronted by Chief Constable Peck .	5(4)
